Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
No Client,*Restricted Matter,01293-Nebula Compute Inc.-Export control advisory,Export control advisory,,Eric Blatt,Yes,,Lindsey Altmeyer,Counsel,Corporate & Securities,"Venture, Startups, Formation, Financing","Lindsey is a Counsel in Scale's Corporate & Securities group. She focuses her practice in the areas of venture financing, securities, and general corporate support. She represents startups from formation to exit and has acted as outside counsel to numerous small businesses. Lindsey also represents investors in venture transactions and has assisted with private fund formation, as well as served on the investment committee of a seed-stage micro fund.","Venture financing
Securities
Commercial
General Corporate Governance","SMU Dedman School of Law 2016
Texas A&M University, BBA Finance","Work:
lindsey@scalefirm.com
Office:
415-735-5933
Mobile:
469-261-7968"
Derrick Burns,Fintech & Financial Services,00002-Burns-Burns v. Singal litigation,Burns v. Singal litigation,Adam Forest,Adam Forest,Yes,5/4/20,Nicole Baldocchi,Paralegal,Litigation,,,,San Jose State University,"Work:
nbaldocchi@scalefirm.com"
Vince Nakayama,,00054-Nakayama-Litigation related to FCREIA deal,Litigation related to FCREIA deal,Conrad Sison,Conrad Sison,Yes,4/8/22,Josh Banerje,Counsel," Fintech & Financial Services, Corporate & Securities",,"Josh has extensive corporate and transactional legal experience with a specialization in emerging growth industries, fintech, and financial services. His current practice focuses on providing fractional general counsel support to entrepreneurs and startups, as well as advising on commercial transactions, M&A, capital markets, and board governance. As part of his evolving practice, Josh is passionate about leveraging cutting edge tech, including AI, to best serve his clients across all industries. Josh has advised several public and private companies in senior legal/executive roles, most recently as the General Counsel & Head of Legal at Grassdoor, a technology startup focused on e-commerce/legal cannabis delivery. Josh provides ongoing board advisory and fractional general counsel support to Grassdoor and its founding team.
","Commercial Contracts and Transactions
Mergers & Acquisitions
Capital Markets
Board Governance
Cannabis Law
Debt Finance
Private and Public Securities Offerings
Product Counseling
SEC Reporting
Fractional General Counsel","University of Chicago Law School
University of Southern California","Work:
jbanerje@scalefirm.com
Office:
415.735.5933
Company Website:
www.scalefirm.com"
Vince Nakayama,,00121-Nakayama-Lucid exit advice and counsel,Lucid exit advice and counsel,Johnny Chen,Johnny Chen,Yes,8/3/21,Eric Blatt,"Partner, Practice Group Leader",Intellectual Property,"Patents, Applications + Litigation Government facing work","Eric Blatt advises emerging companies as to intellectual property and strategic transactions. An accomplished litigator and a former patent examiner at the U.S. Patent and Trademark Office, Eric is skilled at absorbing new technologies, crafting persuasive arguments, and cost-effectively delivering results. A leading expert on intellectual property issues relating to federally-funded R&D, Eric leads a unique specialty practice focused on dual-use ventures and emerging defense technology. Eric speaks and publishes frequently on intellectual property and other issues relating to the Small Business Innovation Research (SBIR) program—a federal program that annually awards approximately $5 billion to startups and small businesses conducting high-impact R&D. He serves as a mentor with several accelerators, including the U.S. Navy’s SBIR/STTR Transition Program, the Department of Energy’s Startup Studio, and Georgetown University’s Venture Lab. Eric is a member of the IP Committee for the Small Business Technology Council, which is an education and advocacy organization focused on the SBIR program.","Intellectual Property Strategy
Patents
Government Data Rights
IP Transactions and Strategic Partnerships
SBIR/STTR
Federally Funded R&D
IP Litigation","Northwestern University School of Law (magna cum laude)
Duke University","Work:
eblatt@scalefirm.com
Office:
415-735-5933
Company Website:
www.scalefirm.com"
Vince Nakayama,,00819-Nakayama-Nakayama v. Lucid,Nakayama v. Lucid,Conrad Sison,Conrad Sison,Yes,9/6/22,Charles Caliman,Practice Group Leader,"Corporate & Securities, General Counsel Services","Private equity, venture capital, M&A, business start-up, small business, commercial transactions, securities law, cannabis and general counsel services. 
","Charles is a solution-oriented corporate attorney with more than 15 years of experience advising executives and senior leaders in private equity, venture capital, small business, business start-ups, and the cannabis industry. Drawing on in-house background, Charles is adept at advising clients on the business implications of complex leagl issues, providing practical counsel with an emphasis on efficiency, risk mitigation, anticipatory planning, and corporate strategy. ","Securities & Capital Markets

Private Fund Group

Commercial Transactions

Mergers & Acquisitions

Venture Finance

Cannabis Law

Outside General Counsel
","The George Washington University Law School

University of Virginia","Work:
ccaliman@scalefirm.com
Mobile:
313-283-2450"
"States Title, Inc.",,"00001-States Title, Inc.-Interim GC",Interim GC,Adam Forest,Adam Forest,Yes,4/3/19,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",Fintech & Financial Services,00003-LendingHome Corp.-Ward litigation,Ward litigation,Adam Forest,Adam Forest,Yes,6/6/18,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",Fintech & Financial Services,"00009-Kiavi, Inc (Previously LendingHome)-Mobasseri Guaranty action",Mobasseri Guaranty action,Adam Forest,Adam Forest,Yes,6/5/24,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",*No Practice Group Selected / Restricted Matter,00015-LendingHome Corp.-Human Resources advice and counsel,Human Resources advice and counsel,Adam Forest,Adam Forest,Yes,1/5/18,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,00022-LendingHome Corp.-Parr - Personal Guaranty enforcement,Parr - Personal Guaranty enforcement,Adam Forest,Adam Forest,Yes,1/6/20,,,,,,,,
